image_name,message_id,channel_name,detected_object,confidence_score,image_category
22772.jpg,22772,lobelia4cosmetics,bottle,0.8075850009918213,product_display
22773.jpg,22773,lobelia4cosmetics,refrigerator,0.3583032786846161,other
22774.jpg,22774,lobelia4cosmetics,none,0.0,other
22775.jpg,22775,lobelia4cosmetics,none,0.0,other
22776.jpg,22776,lobelia4cosmetics,none,0.0,other
22777.jpg,22777,lobelia4cosmetics,none,0.0,other
22778.jpg,22778,lobelia4cosmetics,none,0.0,other
22779.jpg,22779,lobelia4cosmetics,hot dog,0.5860725045204163,other
22779.jpg,22779,lobelia4cosmetics,hot dog,0.5568983554840088,other
22779.jpg,22779,lobelia4cosmetics,hot dog,0.2664225399494171,other
22779.jpg,22779,lobelia4cosmetics,hot dog,0.2514393627643585,other
22780.jpg,22780,lobelia4cosmetics,none,0.0,other
22781.jpg,22781,lobelia4cosmetics,none,0.0,other
22782.jpg,22782,lobelia4cosmetics,none,0.0,other
22783.jpg,22783,lobelia4cosmetics,none,0.0,other
22784.jpg,22784,lobelia4cosmetics,person,0.28747162222862244,lifestyle
22785.jpg,22785,lobelia4cosmetics,book,0.293721079826355,other
22786.jpg,22786,lobelia4cosmetics,none,0.0,other
22787.jpg,22787,lobelia4cosmetics,hot dog,0.5860725045204163,other
22787.jpg,22787,lobelia4cosmetics,hot dog,0.5568983554840088,other
22787.jpg,22787,lobelia4cosmetics,hot dog,0.2664225399494171,other
22787.jpg,22787,lobelia4cosmetics,hot dog,0.2514393627643585,other
22788.jpg,22788,lobelia4cosmetics,none,0.0,other
22789.jpg,22789,lobelia4cosmetics,bottle,0.9156717658042908,product_display
22789.jpg,22789,lobelia4cosmetics,bottle,0.8188876509666443,product_display
22790.jpg,22790,lobelia4cosmetics,bottle,0.8690326809883118,product_display
22791.jpg,22791,lobelia4cosmetics,cell phone,0.46346771717071533,other
22792.jpg,22792,lobelia4cosmetics,none,0.0,other
22793.jpg,22793,lobelia4cosmetics,bottle,0.8699761033058167,product_display
22794.jpg,22794,lobelia4cosmetics,bottle,0.4841199517250061,product_display
22794.jpg,22794,lobelia4cosmetics,dining table,0.29485949873924255,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.6552395224571228,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.6378848552703857,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.6188614964485168,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.6081476211547852,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.6053599119186401,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5932108163833618,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5883391499519348,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5690006017684937,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5683810710906982,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5624142289161682,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5368716716766357,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5203357934951782,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.5048399567604065,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.49132615327835083,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.49017465114593506,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.4898833632469177,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.4855881929397583,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.4419182538986206,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.4392974376678467,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.38871628046035767,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.33974921703338623,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.3238232135772705,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.31539681553840637,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.29658401012420654,product_display
22795.jpg,22795,lobelia4cosmetics,bottle,0.28513476252555847,product_display
22796.jpg,22796,lobelia4cosmetics,bottle,0.8551762104034424,product_display
22796.jpg,22796,lobelia4cosmetics,bottle,0.7980882525444031,product_display
22796.jpg,22796,lobelia4cosmetics,bottle,0.7762734889984131,product_display
22796.jpg,22796,lobelia4cosmetics,bottle,0.670087456703186,product_display
22796.jpg,22796,lobelia4cosmetics,bottle,0.6243575811386108,product_display
22796.jpg,22796,lobelia4cosmetics,bottle,0.5701359510421753,product_display
22797.jpg,22797,lobelia4cosmetics,suitcase,0.32225194573402405,other
22798.jpg,22798,lobelia4cosmetics,oven,0.25304141640663147,other
22799.jpg,22799,lobelia4cosmetics,bottle,0.501695454120636,product_display
22800.jpg,22800,lobelia4cosmetics,none,0.0,other
22801.jpg,22801,lobelia4cosmetics,none,0.0,other
22802.jpg,22802,lobelia4cosmetics,none,0.0,other
22803.jpg,22803,lobelia4cosmetics,none,0.0,other
22804.jpg,22804,lobelia4cosmetics,bottle,0.7991389632225037,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.4543624222278595,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.38692212104797363,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.3355228900909424,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.29000765085220337,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.2832334041595459,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.2718520164489746,product_display
22804.jpg,22804,lobelia4cosmetics,bottle,0.2536514699459076,product_display
22805.jpg,22805,lobelia4cosmetics,none,0.0,other
22806.jpg,22806,lobelia4cosmetics,cup,0.269523561000824,other
22806.jpg,22806,lobelia4cosmetics,book,0.2602480947971344,other
22807.jpg,22807,lobelia4cosmetics,bottle,0.9407469630241394,product_display
22807.jpg,22807,lobelia4cosmetics,bottle,0.3719644844532013,product_display
22807.jpg,22807,lobelia4cosmetics,bottle,0.3689000904560089,product_display
22807.jpg,22807,lobelia4cosmetics,bottle,0.33920976519584656,product_display
22807.jpg,22807,lobelia4cosmetics,bottle,0.32056450843811035,product_display
22807.jpg,22807,lobelia4cosmetics,bottle,0.29432806372642517,product_display
22807.jpg,22807,lobelia4cosmetics,bottle,0.2571009695529938,product_display
22808.jpg,22808,lobelia4cosmetics,none,0.0,other
22809.jpg,22809,lobelia4cosmetics,none,0.0,other
22810.jpg,22810,lobelia4cosmetics,none,0.0,other
22811.jpg,22811,lobelia4cosmetics,none,0.0,other
22812.jpg,22812,lobelia4cosmetics,none,0.0,other
22813.jpg,22813,lobelia4cosmetics,none,0.0,other
22814.jpg,22814,lobelia4cosmetics,bottle,0.2802514433860779,product_display
22815.jpg,22815,lobelia4cosmetics,bottle,0.5791776776313782,product_display
22816.jpg,22816,lobelia4cosmetics,bottle,0.422213077545166,product_display
22817.jpg,22817,lobelia4cosmetics,bottle,0.9407609105110168,product_display
22817.jpg,22817,lobelia4cosmetics,bottle,0.40567681193351746,product_display
22818.jpg,22818,lobelia4cosmetics,bottle,0.9543538093566895,product_display
22818.jpg,22818,lobelia4cosmetics,bottle,0.347308486700058,product_display
22819.jpg,22819,lobelia4cosmetics,bottle,0.8416873812675476,product_display
22820.jpg,22820,lobelia4cosmetics,bottle,0.735706627368927,product_display
22820.jpg,22820,lobelia4cosmetics,bottle,0.43583735823631287,product_display
22820.jpg,22820,lobelia4cosmetics,bottle,0.42845964431762695,product_display
22820.jpg,22820,lobelia4cosmetics,bottle,0.41527533531188965,product_display
22820.jpg,22820,lobelia4cosmetics,bottle,0.3795345723628998,product_display
22821.jpg,22821,lobelia4cosmetics,bottle,0.9070143103599548,product_display
22822.jpg,22822,lobelia4cosmetics,none,0.0,other
22823.jpg,22823,lobelia4cosmetics,none,0.0,other
22824.jpg,22824,lobelia4cosmetics,bottle,0.9318896532058716,product_display
22825.jpg,22825,lobelia4cosmetics,none,0.0,other
22826.jpg,22826,lobelia4cosmetics,bottle,0.5707804560661316,product_display
22827.jpg,22827,lobelia4cosmetics,bottle,0.501695454120636,product_display
22828.jpg,22828,lobelia4cosmetics,bottle,0.47455108165740967,product_display
22829.jpg,22829,lobelia4cosmetics,none,0.0,other
22830.jpg,22830,lobelia4cosmetics,none,0.0,other
22831.jpg,22831,lobelia4cosmetics,bottle,0.27559399604797363,product_display
22832.jpg,22832,lobelia4cosmetics,none,0.0,other
22833.jpg,22833,lobelia4cosmetics,none,0.0,other
